CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E_3,H^+,H^+,vTX,vTX,"['H^+ -- (v) -- W^+ -- (X) -- l -- [X,T]']","['H^+ -- (v) -- W^+ -- (X) -- l -- [X,T]']",vvTTX, 1tau + 1v + MET, 1tau + 1v + MET, 2tau + 2v + MET
L L E_3,H^+,H^+,vTX,vTll,"['H^+ -- (v) -- W^+ -- (X) -- l -- [X,T]']","['H^+ -- (v) -- W^+ -- (l) -- nu -- [l,T]']",vvTTllX, 1tau + 1v + MET, 2l + 1tau + 1v, 2l + 2tau + 2v + MET
L L E_3,H^+,H^+,vTll,vTlX,"['H^+ -- (v) -- W^+ -- (l) -- nu -- [l,T]']","['H^+ -- (v) -- B -- (l) -- l -- [X,T]', 'H^+ -- (v) -- B -- (X) -- nu -- [l,T]', 'H^+ -- (v) -- B -- (T) -- tau -- [l,X]']",vvTTlllX, 2l + 1tau + 1v, 1l + 1tau + 1v + MET, 3l + 2tau + 2v + MET
L L E_3,H^+,H^+,vTll,vTX,"['H^+ -- (v) -- W^+ -- (l) -- nu -- [l,T]']","['H^+ -- (v) -- W^+ -- (X) -- l -- [X,T]']",vvTTllX, 2l + 1tau + 1v, 1tau + 1v + MET, 2l + 2tau + 2v + MET
L L E_3,H^+,H^+,vTll,vTll,"['H^+ -- (v) -- W^+ -- (l) -- nu -- [l,T]']","['H^+ -- (v) -- W^+ -- (l) -- nu -- [l,T]']",vvTTllll, 2l + 1tau + 1v, 2l + 1tau + 1v, 4l + 2tau + 2v
L L E_3,H^+,H^0,vTlX,vTlX,"['H^+ -- (v) -- B -- (l) -- l -- [X,T]', 'H^+ -- (v) -- B -- (X) -- nu -- [l,T]', 'H^+ -- (v) -- B -- (T) -- tau -- [l,X]']","['H^0 -- (v) -- B -- (l) -- l -- [X,T]', 'H^0 -- (v) -- B -- (X) -- nu -- [l,T]', 'H^0 -- (v) -- B -- (T) -- tau -- [l,X]']",vvTTllX, 1l + 1tau + 1v + MET, 1l + 1tau + 1v + MET, 2l + 2tau + 2v + MET
L L E_3,H^+,H^0,vTlX,vTX,"['H^+ -- (v) -- B -- (l) -- l -- [X,T]', 'H^+ -- (v) -- B -- (X) -- nu -- [l,T]', 'H^+ -- (v) -- B -- (T) -- tau -- [l,X]']","['H^0 -- (v) -- W^+ -- (X) -- l -- [X,T]']",vvTTlX, 1l + 1tau + 1v + MET, 1tau + 1v + MET, 1l + 2tau + 2v + MET
L L E_3,H^+,H^0,vTlX,vTll,"['H^+ -- (v) -- B -- (l) -- l -- [X,T]', 'H^+ -- (v) -- B -- (X) -- nu -- [l,T]', 'H^+ -- (v) -- B -- (T) -- tau -- [l,X]']","['H^0 -- (v) -- W^+ -- (l) -- nu -- [l,T]']",vvTTlllX, 1l + 1tau + 1v + MET, 2l + 1tau + 1v, 3l + 2tau + 2v + MET
L L E_3,H^+,H^0,vTX,vTlX,"['H^+ -- (v) -- W^+ -- (X) -- l -- [X,T]']","['H^0 -- (v) -- B -- (l) -- l -- [X,T]', 'H^0 -- (v) -- B -- (X) -- nu -- [l,T]', 'H^0 -- (v) -- B -- (T) -- tau -- [l,X]']",vvTTlX, 1tau + 1v + MET, 1l + 1tau + 1v + MET, 1l + 2tau + 2v + MET
L L E_3,H^+,H^0,vTX,vTX,"['H^+ -- (v) -- W^+ -- (X) -- l -- [X,T]']","['H^0 -- (v) -- W^+ -- (X) -- l -- [X,T]']",vvTTX, 1tau + 1v + MET, 1tau + 1v + MET, 2tau + 2v + MET
