CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,u,u,jllE,jllE,"['u -- (j) -- B -- (l) -- l -- [E,l]', 'u -- (j) -- B -- (E) -- nu -- [l,l]', 'u -- (j) -- B -- (l) -- e -- [l,E]']","['u -- (j) -- B -- (l) -- l -- [E,l]', 'u -- (j) -- B -- (E) -- nu -- [l,l]', 'u -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L_3 L E,u,u,jllE,jllE,"['u -- (j) -- B -- (l) -- l -- [E,l]', 'u -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'u -- (j) -- B -- (l) -- e -- [l,E]']","['u -- (j) -- B -- (l) -- l -- [E,l]', 'u -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'u -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L_3 L E,u,u,jllE,jTlE,"['u -- (j) -- B -- (l) -- l -- [E,l]', 'u -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'u -- (j) -- B -- (l) -- e -- [l,E]']","['u -- (j) -- B -- (T) -- tau_L -- [E,l]', 'u -- (j) -- B -- (E) -- nu -- [T,l]', 'u -- (j) -- B -- (l) -- e -- [T,E]']",jjTlllE, 1j_l + 2l + MET, 1j_l + 1l + 1tau + MET, 2j_l + 3l + 1tau + MET
L_3 L E,u,u,jTlE,jllE,"['u -- (j) -- B -- (T) -- tau_L -- [E,l]', 'u -- (j) -- B -- (E) -- nu -- [T,l]', 'u -- (j) -- B -- (l) -- e -- [T,E]']","['u -- (j) -- B -- (l) -- l -- [E,l]', 'u -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'u -- (j) -- B -- (l) -- e -- [l,E]']",jjTlllE, 1j_l + 1l + 1tau + MET, 1j_l + 2l + MET, 2j_l + 3l + 1tau + MET
L_3 L E,u,u,jTlE,jTlE,"['u -- (j) -- B -- (T) -- tau_L -- [E,l]', 'u -- (j) -- B -- (E) -- nu -- [T,l]', 'u -- (j) -- B -- (l) -- e -- [T,E]']","['u -- (j) -- B -- (T) -- tau_L -- [E,l]', 'u -- (j) -- B -- (E) -- nu -- [T,l]', 'u -- (j) -- B -- (l) -- e -- [T,E]']",jjTTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 2tau + MET
L L E_3,u,u,jTlE,jTlE,"['u -- (j) -- B -- (l) -- l -- [E,T]', 'u -- (j) -- B -- (E) -- nu -- [l,T]', 'u -- (j) -- B -- (T) -- tau -- [l,E]']","['u -- (j) -- B -- (l) -- l -- [E,T]', 'u -- (j) -- B -- (E) -- nu -- [l,T]', 'u -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 2tau + MET
L_3 L E_3,u,u,jTlE,jTlE,"['u -- (j) -- B -- (l) -- l -- [E,T]', 'u -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'u -- (j) -- B -- (T) -- tau -- [l,E]']","['u -- (j) -- B -- (l) -- l -- [E,T]', 'u -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'u -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 2tau + MET
L_3 L E_3,u,u,jTlE,jTTE,"['u -- (j) -- B -- (l) -- l -- [E,T]', 'u -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'u -- (j) -- B -- (T) -- tau -- [l,E]']","['u -- (j) -- B -- (T) -- tau_L -- [E,T]', 'u -- (j) -- B -- (E) -- nu -- [T,T]', 'u -- (j) -- B -- (T) -- tau -- [T,E]']",jjTTTlE, 1j_l + 1l + 1tau + MET, 1j_l + 2tau + MET, 2j_l + 1l + 3tau + MET
L_3 L E_3,u,u,jTTE,jTlE,"['u -- (j) -- B -- (T) -- tau_L -- [E,T]', 'u -- (j) -- B -- (E) -- nu -- [T,T]', 'u -- (j) -- B -- (T) -- tau -- [T,E]']","['u -- (j) -- B -- (l) -- l -- [E,T]', 'u -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'u -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTTlE, 1j_l + 2tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 1l + 3tau + MET
L_3 L E_3,u,u,jTTE,jTTE,"['u -- (j) -- B -- (T) -- tau_L -- [E,T]', 'u -- (j) -- B -- (E) -- nu -- [T,T]', 'u -- (j) -- B -- (T) -- tau -- [T,E]']","['u -- (j) -- B -- (T) -- tau_L -- [E,T]', 'u -- (j) -- B -- (E) -- nu -- [T,T]', 'u -- (j) -- B -- (T) -- tau -- [T,E]']",jjTTTTE, 1j_l + 2tau + MET, 1j_l + 2tau + MET, 2j_l + 4tau + MET
L Q D,u,u,jjjE,jjjE,"['u -- (j) -- B -- (E) -- nu -- [j,j]', 'u -- (j) -- B -- (j) -- q -- [E,j]', 'u -- (j) -- B -- (j) -- d -- [E,j]']","['u -- (j) -- B -- (E) -- nu -- [j,j]', 'u -- (j) -- B -- (j) -- q -- [E,j]', 'u -- (j) -- B -- (j) -- d -- [E,j]']",jjjjjjE, 3j_l + MET, 3j_l + MET, 6j_l + MET
