CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,B,B,llE,jjllE,"['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu -- [l,l]', 'B -- (l) -- e -- [l,E]']","['B -- (j) -- q -- (j) -- W^0 -- (l) -- l -- [E,l]', 'B -- (j) -- q -- (j) -- W^0 -- (E) -- nu -- [l,l]']",jjllllE, 2l + MET, 2j_l + 2l + MET, 2j_l + 4l + MET
L L E,B,B,jjllE,llE,"['B -- (j) -- q -- (j) -- W^0 -- (l) -- l -- [E,l]', 'B -- (j) -- q -- (j) -- W^0 -- (E) -- nu -- [l,l]']","['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu -- [l,l]', 'B -- (l) -- e -- [l,E]']",jjllllE, 2j_l + 2l + MET, 2l + MET, 2j_l + 4l + MET
L L E,W^+,W^0,lllE,jjlE,"['W^+ -- (l) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^+ -- (E) -- l -- (l) -- B -- (E) -- nu -- [l,l]', 'W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^0 -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]']",jjllllE, 3l + MET, 2j_l + 1l + MET, 2j_l + 4l + MET
L L E,W^+,W^0,lE,jjlll,"['W^+ -- (E) -- l -- [E,l]']","['W^0 -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",jjllllE, 1l + MET, 2j_l + 3l, 2j_l + 4l + MET
L L E,W^+,W^0,jjllE,llE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]', 'W^+ -- (j) -- q -- (j) -- B -- (E) -- nu -- [l,l]', 'W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]']",jjllllE, 2j_l + 2l + MET, 2l + MET, 2j_l + 4l + MET
L L E,W^+,W^0,lll,jjlE,"['W^+ -- (l) -- nu -- [l,l]']","['W^0 -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]']",jjllllE, 3l, 2j_l + 1l + MET, 2j_l + 4l + MET
L L E,W^0,W^0,llE,jjllE,"['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]']","['W^0 -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]', 'W^0 -- (j) -- q -- (j) -- B -- (E) -- nu -- [l,l]', 'W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 2l + MET, 2j_l + 2l + MET, 2j_l + 4l + MET
L L E,W^0,W^0,jjllE,llE,"['W^0 -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]', 'W^0 -- (j) -- q -- (j) -- B -- (E) -- nu -- [l,l]', 'W^0 -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]']",jjllllE, 2j_l + 2l + MET, 2l + MET, 2j_l + 4l + MET
L L E,q,q,jllE,jllE,"['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']","['q -- (j) -- B -- (l) -- l -- [E,l]', 'q -- (j) -- B -- (E) -- nu -- [l,l]', 'q -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L L E,q,q,jlll,jlE,"['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']","['q -- (j) -- W^+ -- (E) -- l -- [E,l]']",jjllllE, 1j_l + 3l, 1j_l + 1l + MET, 2j_l + 4l + MET
L L E,q,q,jlE,jlll,"['q -- (j) -- W^+ -- (E) -- l -- [E,l]']","['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",jjllllE, 1j_l + 1l + MET, 1j_l + 3l, 2j_l + 4l + MET
L L E,d,d,jllE,jllE,"['d -- (j) -- B -- (l) -- l -- [E,l]', 'd -- (j) -- B -- (E) -- nu -- [l,l]', 'd -- (j) -- B -- (l) -- e -- [l,E]']","['d -- (j) -- B -- (l) -- l -- [E,l]', 'd -- (j) -- B -- (E) -- nu -- [l,l]', 'd -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L L E,u,u,jllE,jllE,"['u -- (j) -- B -- (l) -- l -- [E,l]', 'u -- (j) -- B -- (E) -- nu -- [l,l]', 'u -- (j) -- B -- (l) -- e -- [l,E]']","['u -- (j) -- B -- (l) -- l -- [E,l]', 'u -- (j) -- B -- (E) -- nu -- [l,l]', 'u -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L_3 L E,B,B,llE,jjllE,"['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,E]', 'B -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']","['B -- (j) -- q -- (j) -- W^0 -- (l) -- l -- [E,l]', 'B -- (j) -- q -- (j) -- W^0 -- (E) -- nu_tau -- [l,l]']",jjllllE, 2l + MET, 2j_l + 2l + MET, 2j_l + 4l + MET
L_3 L E,B,B,jjllE,llE,"['B -- (j) -- q -- (j) -- W^0 -- (l) -- l -- [E,l]', 'B -- (j) -- q -- (j) -- W^0 -- (E) -- nu_tau -- [l,l]']","['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,E]', 'B -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']",jjllllE, 2j_l + 2l + MET, 2l + MET, 2j_l + 4l + MET
L_3 L E,W^+,W^0,lllE,jjlE,"['W^+ -- (l) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^+ -- (E) -- l -- (l) -- B -- (E) -- nu_tau -- [l,l]', 'W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^0 -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'W^0 -- (j) -- q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",jjllllE, 3l + MET, 2j_l + 1l + MET, 2j_l + 4l + MET
L_3 L E,W^+,W^0,jjllE,llE,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]', 'W^+ -- (j) -- q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']","['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu_tau -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]', 'W^0 -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']",jjllllE, 2j_l + 2l + MET, 2l + MET, 2j_l + 4l + MET
