CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,d,d,jllE,jllE,"['d -- (j) -- B -- (l) -- l -- [E,l]', 'd -- (j) -- B -- (E) -- nu -- [l,l]', 'd -- (j) -- B -- (l) -- e -- [l,E]']","['d -- (j) -- B -- (l) -- l -- [E,l]', 'd -- (j) -- B -- (E) -- nu -- [l,l]', 'd -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L_3 L E,d,d,jllE,jllE,"['d -- (j) -- B -- (l) -- l -- [E,l]', 'd -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'd -- (j) -- B -- (l) -- e -- [l,E]']","['d -- (j) -- B -- (l) -- l -- [E,l]', 'd -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'd -- (j) -- B -- (l) -- e -- [l,E]']",jjllllE, 1j_l + 2l + MET, 1j_l + 2l + MET, 2j_l + 4l + MET
L_3 L E,d,d,jllE,jTlE,"['d -- (j) -- B -- (l) -- l -- [E,l]', 'd -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'd -- (j) -- B -- (l) -- e -- [l,E]']","['d -- (j) -- B -- (T) -- tau_L -- [E,l]', 'd -- (j) -- B -- (E) -- nu -- [T,l]', 'd -- (j) -- B -- (l) -- e -- [T,E]']",jjTlllE, 1j_l + 2l + MET, 1j_l + 1l + 1tau + MET, 2j_l + 3l + 1tau + MET
L_3 L E,d,d,jTlE,jllE,"['d -- (j) -- B -- (T) -- tau_L -- [E,l]', 'd -- (j) -- B -- (E) -- nu -- [T,l]', 'd -- (j) -- B -- (l) -- e -- [T,E]']","['d -- (j) -- B -- (l) -- l -- [E,l]', 'd -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'd -- (j) -- B -- (l) -- e -- [l,E]']",jjTlllE, 1j_l + 1l + 1tau + MET, 1j_l + 2l + MET, 2j_l + 3l + 1tau + MET
L_3 L E,d,d,jTlE,jTlE,"['d -- (j) -- B -- (T) -- tau_L -- [E,l]', 'd -- (j) -- B -- (E) -- nu -- [T,l]', 'd -- (j) -- B -- (l) -- e -- [T,E]']","['d -- (j) -- B -- (T) -- tau_L -- [E,l]', 'd -- (j) -- B -- (E) -- nu -- [T,l]', 'd -- (j) -- B -- (l) -- e -- [T,E]']",jjTTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 2tau + MET
L L E_3,d,d,jTlE,jTlE,"['d -- (j) -- B -- (l) -- l -- [E,T]', 'd -- (j) -- B -- (E) -- nu -- [l,T]', 'd -- (j) -- B -- (T) -- tau -- [l,E]']","['d -- (j) -- B -- (l) -- l -- [E,T]', 'd -- (j) -- B -- (E) -- nu -- [l,T]', 'd -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 2tau + MET
L_3 L E_3,d,d,jTlE,jTlE,"['d -- (j) -- B -- (l) -- l -- [E,T]', 'd -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'd -- (j) -- B -- (T) -- tau -- [l,E]']","['d -- (j) -- B -- (l) -- l -- [E,T]', 'd -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'd -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTllE, 1j_l + 1l + 1tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 2l + 2tau + MET
L_3 L E_3,d,d,jTlE,jTTE,"['d -- (j) -- B -- (l) -- l -- [E,T]', 'd -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'd -- (j) -- B -- (T) -- tau -- [l,E]']","['d -- (j) -- B -- (T) -- tau_L -- [E,T]', 'd -- (j) -- B -- (E) -- nu -- [T,T]', 'd -- (j) -- B -- (T) -- tau -- [T,E]']",jjTTTlE, 1j_l + 1l + 1tau + MET, 1j_l + 2tau + MET, 2j_l + 1l + 3tau + MET
L_3 L E_3,d,d,jTTE,jTlE,"['d -- (j) -- B -- (T) -- tau_L -- [E,T]', 'd -- (j) -- B -- (E) -- nu -- [T,T]', 'd -- (j) -- B -- (T) -- tau -- [T,E]']","['d -- (j) -- B -- (l) -- l -- [E,T]', 'd -- (j) -- B -- (E) -- nu_tau -- [l,T]', 'd -- (j) -- B -- (T) -- tau -- [l,E]']",jjTTTlE, 1j_l + 2tau + MET, 1j_l + 1l + 1tau + MET, 2j_l + 1l + 3tau + MET
L_3 L E_3,d,d,jTTE,jTTE,"['d -- (j) -- B -- (T) -- tau_L -- [E,T]', 'd -- (j) -- B -- (E) -- nu -- [T,T]', 'd -- (j) -- B -- (T) -- tau -- [T,E]']","['d -- (j) -- B -- (T) -- tau_L -- [E,T]', 'd -- (j) -- B -- (E) -- nu -- [T,T]', 'd -- (j) -- B -- (T) -- tau -- [T,E]']",jjTTTTE, 1j_l + 2tau + MET, 1j_l + 2tau + MET, 2j_l + 4tau + MET
L Q D,d,d,jE,jE,"['d -- [E,j]']","['d -- [E,j]']",jjE, 1j_l + MET, 1j_l + MET, 2j_l + MET
L Q D,d,d,jE,jjjE,"['d -- [E,j]']","['d -- (j) -- B -- (E) -- nu -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [E,j]']",jjjjE, 1j_l + MET, 3j_l + MET, 4j_l + MET
L Q D,d,d,jE,jjjl,"['d -- [E,j]']","['d -- (j) -- B -- (l) -- l -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [l,j]']",jjjjlE, 1j_l + MET, 3j_l + 1l, 4j_l + 1l + MET
L Q D,d,d,jE,jl,"['d -- [E,j]']","['d -- [l,j]']",jjlE, 1j_l + MET, 1j_l + 1l, 2j_l + 1l + MET
L Q D,d,d,jjjE,jE,"['d -- (j) -- B -- (E) -- nu -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [E,j]']","['d -- [E,j]']",jjjjE, 3j_l + MET, 1j_l + MET, 4j_l + MET
L Q D,d,d,jjjE,jjjE,"['d -- (j) -- B -- (E) -- nu -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [E,j]']","['d -- (j) -- B -- (E) -- nu -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [E,j]']",jjjjjjE, 3j_l + MET, 3j_l + MET, 6j_l + MET
L Q D,d,d,jjjE,jjjl,"['d -- (j) -- B -- (E) -- nu -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [E,j]']","['d -- (j) -- B -- (l) -- l -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [l,j]']",jjjjjjlE, 3j_l + MET, 3j_l + 1l, 6j_l + 1l + MET
L Q D,d,d,jjjE,jl,"['d -- (j) -- B -- (E) -- nu -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [E,j]']","['d -- [l,j]']",jjjjlE, 3j_l + MET, 1j_l + 1l, 4j_l + 1l + MET
L Q D,d,d,jjjl,jE,"['d -- (j) -- B -- (l) -- l -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [l,j]']","['d -- [E,j]']",jjjjlE, 3j_l + 1l, 1j_l + MET, 4j_l + 1l + MET
L Q D,d,d,jjjl,jjjE,"['d -- (j) -- B -- (l) -- l -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [l,j]']","['d -- (j) -- B -- (E) -- nu -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [E,j]']",jjjjjjlE, 3j_l + 1l, 3j_l + MET, 6j_l + 1l + MET
L Q D,d,d,jjjl,jjjl,"['d -- (j) -- B -- (l) -- l -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [l,j]']","['d -- (j) -- B -- (l) -- l -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [l,j]']",jjjjjjll, 3j_l + 1l, 3j_l + 1l, 6j_l + 2l
L Q D,d,d,jjjl,jl,"['d -- (j) -- B -- (l) -- l -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [l,j]']","['d -- [l,j]']",jjjjll, 3j_l + 1l, 1j_l + 1l, 4j_l + 2l
L Q D,d,d,jl,jE,"['d -- [l,j]']","['d -- [E,j]']",jjlE, 1j_l + 1l, 1j_l + MET, 2j_l + 1l + MET
L Q D,d,d,jl,jjjE,"['d -- [l,j]']","['d -- (j) -- B -- (E) -- nu -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [E,j]']",jjjjlE, 1j_l + 1l, 3j_l + MET, 4j_l + 1l + MET
L Q D,d,d,jl,jjjl,"['d -- [l,j]']","['d -- (j) -- B -- (l) -- l -- [j,j]', 'd -- (j) -- B -- (j) -- q -- [l,j]']",jjjjll, 1j_l + 1l, 3j_l + 1l, 4j_l + 2l
L Q D,d,d,jl,jl,"['d -- [l,j]']","['d -- [l,j]']",jjll, 1j_l + 1l, 1j_l + 1l, 2j_l + 2l
L Q D_3,d,d,bjjE,bjjE,"['d -- (j) -- B -- (E) -- nu -- [j,b]', 'd -- (j) -- B -- (j) -- q -- [E,b]', 'd -- (j) -- B -- (b) -- b -- [E,j]']","['d -- (j) -- B -- (E) -- nu -- [j,b]', 'd -- (j) -- B -- (j) -- q -- [E,b]', 'd -- (j) -- B -- (b) -- b -- [E,j]']",bbjjjjE, 2j_l + 1b + MET, 2j_l + 1b + MET, 4j_l + 2b + MET
L Q D_3,d,d,bjjE,bjjl,"['d -- (j) -- B -- (E) -- nu -- [j,b]', 'd -- (j) -- B -- (j) -- q -- [E,b]', 'd -- (j) -- B -- (b) -- b -- [E,j]']","['d -- (j) -- B -- (l) -- l -- [j,b]', 'd -- (j) -- B -- (j) -- q -- [l,b]', 'd -- (j) -- B -- (b) -- b -- [l,j]']",bbjjjjlE, 2j_l + 1b + MET, 2j_l + 1b + 1l, 4j_l + 2b + 1l + MET
